Year,Euro area,Austria,Belgium,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Portugal,Slovakia,Slovenia,Spain,Bulgaria,Czechia,Denmark,Hungary,Poland,Romania,Sweden
1999,2.907058688,3.658582858,3.542740902,-0.8486944934,4.997954695,-0.5105465522,4.38993302,3.260717433,1.990435317,2.65880935,10.53026966,1.62880629,2.550927434,-1.087485435,8.176141678,,4.937235863,3.906577762,-0.4732612096,5.267921796,4.408892665,,,,,,,
2000,4.034347457,3.411957504,3.716681052,2.94525311,5.965304455,9.863549754,5.75254079,4.363914558,3.106803498,4.137806946,9.403093201,4.205536067,5.86866135,3.361962747,6.938181063,,4.318605784,3.816177361,0.7892244779,3.497916529,5.200573884,,,,,,,
2001,2.157626917,1.28685791,1.099612482,3.111234952,3.952562582,5.852183707,2.641424003,1.846576836,1.752346516,4.650447273,5.30557305,1.854856928,6.282007098,6.634470954,3.074352696,,2.338296425,1.943672332,2.925160772,2.828503596,3.919119044,,,,,,,
2002,0.9307356867,1.479346117,1.706894462,5.803328343,3.722974911,6.987044849,1.687326305,1.118896134,-0.1890171119,4.683105081,5.899570199,0.2456675116,7.573946592,6.530854592,3.225304682,2.741135133,0.2540549084,0.7709245036,4.417253483,3.282692529,2.755514596,,,,,,,
2003,0.7394524314,1.105328182,1.037966633,5.56837271,2.623299623,7.805902825,2.011257402,0.9946127221,-0.5440847935,5.796834908,3.013502532,0.1485186611,8.526680167,10.53125204,2.619252913,3.693310466,0.1770931094,-0.9305209212,4.856698516,3.19490452,2.939269937,,,,,,,
2004,2.043933969,2.467593431,3.571195004,4.170484991,5.026272267,6.610902477,4.005932352,2.518801557,0.7012041254,5.377883653,6.788692743,1.250625086,8.702439233,6.31874724,4.230676789,0.4073544794,1.757505431,1.788735504,5.38949857,4.546170173,3.114554563,,,,,,,
2005,1.89450517,2.419629533,2.32173732,4.327076414,4.852987622,9.342357282,2.776798172,1.98854514,1.053482671,1.183469496,5.739438836,1.144359046,11.42980327,8.183771796,2.482507177,2.881235234,2.091225352,0.7818476788,6.484932223,3.854037397,3.551151723,,,,,,,
2006,3.42081292,3.424737458,2.552352819,5.081465886,4.713783586,9.870160744,4.020090507,2.928719006,4.042296912,6.443424429,4.988378235,1.89306713,12.88247292,7.301351184,6.01660871,2.336189446,3.659323858,1.625035102,8.925687048,5.908889515,4.043433945,,,,,,,
2007,2.979806254,3.711413615,3.676903134,5.048886286,5.098226149,7.198862852,5.31184564,2.486164028,2.988865221,3.506850367,5.310003506,1.27847421,10.71424198,11.09958974,8.098524229,5.036401684,3.873216354,2.506579377,10.81862951,7.139271317,3.533517218,,,,,,,
2008,0.3134082094,1.377678522,0.4469205714,1.968590118,3.646989221,-4.615014173,0.785346256,0.2643236858,0.6458425638,0.05750438555,-4.484179311,-1.061513735,-3.049824725,2.180639533,-0.3022743351,4.410596604,2.142083285,0.3192473069,5.363377212,3.372238314,0.767209786,,,,,,,
2009,-4.424731821,-3.577567618,-1.906448423,-6.813956188,-2.015082037,-14.24184593,-8.075580479,-2.733114738,-5.497108556,-4.119312855,-5.095779156,-5.323482355,-15.95316173,-14.50261364,-3.238954601,-1.39524973,-3.672090209,-3.122078245,-5.50533791,-7.59057548,-3.768140435,,,,,,,
2010,1.992557653,1.746541666,2.710314999,-1.334081545,2.282671001,2.181040662,3.16680223,1.843557963,4.010024085,-5.693729673,1.682502876,1.478872878,-3.93953962,0.2740545264,3.760409313,6.197350411,1.2672166,1.737624769,6.790581591,1.112071763,0.09412948863,,,,,,,
2011,1.783761666,3.048930244,1.931151698,-0.0977515319,0.4167118684,7.33078053,2.390892381,2.484585102,3.835811459,-9.876772172,1.649595209,0.8553854716,2.933646925,6.343351641,1.044285084,0.9922019113,1.778927866,-1.713527813,2.562424732,0.6553963004,-0.6399324139,,,,,,,
2012,-0.9054653401,0.6495912853,0.2157973848,-2.253745593,-3.447381514,3.657505942,-1.523311207,0.2218261843,0.6503096361,-8.331148817,-0.3993602612,-3.174163154,7.343399511,4.37640038,1.649711626,4.101673917,-0.9827602078,-4.050902319,1.569171047,-2.915596665,-2.86509652,,,,,,,
2013,-0.1211578372,-0.2859015884,0.3055039718,-0.125449745,-6.587477511,1.72789273,-0.9783371566,0.9140714098,0.5093875843,-2.272105551,2.192315858,-1.825553769,2.046913884,4.078396186,3.171683054,6.292333757,0.01270103978,-0.9841067317,0.7033235452,-0.8236240965,-1.427366202,,,,,,,
2014,1.454957015,0.8879755407,1.765544794,-0.5571502639,-1.776058677,3.083209368,-0.4785417321,1.019934027,2.163239909,0.7922528099,9.336017289,0.0758005194,2.140870522,3.768714507,2.623090215,7.631363614,1.614267348,0.741391175,2.707951514,2.76265162,1.520496231,,,,,,,
2015,2.002826297,1.258721093,1.474160744,2.323175268,3.418920389,2.285172025,0.4665035179,0.9851108212,1.407274599,-0.2283006973,24.61568507,0.7454095239,3.738767339,2.844756799,2.268358807,9.620703153,2.097677751,1.589798372,5.176879097,2.393416812,4.060834555,,,,,,,
2016,1.77805746,2.170747347,1.19350705,3.461129531,6.573590809,3.030894906,2.571934215,0.7313594935,2.211639307,-0.03179533447,1.222812915,1.354254794,2.593168619,2.613429019,4.978182957,4.078003567,2.420165946,2.00414098,1.947818415,3.034460224,2.915155016,,,,,,,
2017,2.743409666,2.406199232,1.47445496,3.280958129,5.750832366,5.312773629,3.304297822,2.284993765,3.007632486,1.473097414,10.04892212,1.689847822,3.113653424,4.704234635,1.317112078,12.9713425,2.781901989,3.314720889,2.874733275,5.174315435,2.896077979,,,,,,,
2018,1.745784187,2.377510324,1.877969241,2.904681357,6.271663601,3.743644237,1.192967009,1.585817462,1.132222779,2.064668778,7.544733805,0.6799399271,4.072718864,4.832314808,1.611298591,7.189214792,2.254426797,2.946282441,4.062119819,4.379222196,2.395420949,,,,,,,
2019,1.642115544,1.783824846,2.442894189,3.100439162,5.875595834,3.623061254,1.349726463,2.074712613,1.027662451,2.277171961,5.040845251,0.4170652942,1.053426154,4.722360638,2.749319826,4.085055822,2.296986941,2.745684721,2.2758991,3.505164712,1.961187056,,,,,,,
2020,-6.154628365,-6.531113202,-4.792981805,-8.311642648,-3.220630186,-2.540219167,-2.490138825,-7.592625162,-4.458967008,-9.196226489,7.157755537,-8.951931557,-3.229402631,0.04798091912,-0.5100540063,-3.358450979,-3.824978799,-8.204632035,-2.585512417,-4.085016612,-10.94008981,,,,,,,
2021,6.331665538,5.02080892,6.207597277,12.63170033,11.38818927,7.165062236,2.67674749,6.828278626,3.624933673,8.654496402,16.25526916,8.808230265,6.685424551,6.361089222,6.929734241,13.29945166,6.206595774,5.558757489,5.699592633,8.389621449,6.683144205,,,,,,,
2022,3.702287545,5.359312144,4.259359453,7.28793652,7.204867807,-0.03811845486,0.7630249957,2.625545735,1.445665238,5.743653015,8.619546144,4.974767488,2.58395845,2.516230425,-1.09505291,4.269324136,5.005441551,6.985841984,0.4373595086,2.699176272,6.179328743,,,,,,,
2023,0.5014724121,-0.8543110158,1.20167646,3.31839688,2.763909754,-3.105436798,-0.9481860786,1.113519378,-0.06196009142,2.332113734,-5.529864519,0.8141702429,2.234163883,0.4279673467,-0.69363243,6.796879125,0.08494470047,2.613128497,2.168149116,2.112736967,2.675613284,,,,,,,
2024,0.8055811889,-1.335989859,1.018908801,3.927409609,3.448061197,-0.2193433188,-0.1331843771,1.139331724,-0.2050694283,2.271756959,1.221023987,0.5195800793,-0.3792846967,2.72586519,1.031694507,5.968864883,0.9749140064,1.903135288,2.061677718,1.590919786,3.150186475,2.8,1.1,3.7,0.5,2.9,0.8,1.0
2025,1.237374248,-0.1070383108,1.028561403,3.2691915,3.09923343,1.525939387,0.5299958523,0.6260424108,-0.01548853155,2.26,5.82656993,0.6314632104,1.208981305,2.796767543,1.807646727,4.011615458,1.082466798,1.57977696,1.190784087,1.250667183,2.435380129,2.0,1.9,3.6,0.8,3.3,1.4,1.1
2026,0.9870505406,0.8948395333,1.055463276,2.932708754,2.954444484,2.330422381,1.452504078,0.9819961758,0.7424055359,2.04,2.851021414,0.8125053496,2.84932654,2.84623459,2.121506772,3.498775085,0.9049222748,2.223324958,1.63158768,2.350852222,1.783586231,2.1,2.1,2.0,2.5,3.0,2.2,1.9
2027,1.297243469,1.094696395,1.135871477,2.470379368,3.034787848,2.762405345,1.631477417,1.179592471,1.209503307,2.056,3.179195925,0.6531340633,3.227980233,2.936726109,2.531770039,3.259758596,1.132518832,1.671514015,2.127288991,2.350815183,1.712877196,,,,,,,
